NCT Number,Interventions,Drug.Code,Drug.Name,Drug.Type,Drug.Target,Drug.Group
NCT00338026,DRUG: ECO-4601,C62508,Diazepinomicin,Inhibitor,pan-RAS,KRAS
NCT03518554,DRUG: JAB-3068,C160207,JAB3068,Inhibitor,SOS1:SHP2,SHP2
NCT03565003,DRUG: JAB-3068,C160207,JAB3068,Inhibitor,SOS1:SHP2,SHP2
NCT03600883,DRUG: sotorasib|DRUG: Anti PD-1/L1|DRUG: Midazolam,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT03634982,DRUG: RMC-4630,C155850,Vociprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT03948763,BIOLOGICAL: V941|BIOLOGICAL: Pembrolizumab,C162186,mRNA vac V941,Vaccine,multi-KRAS,KRAS
NCT03989115,DRUG: RMC-4630|DRUG: Cobimetinib|DRUG: Drug: Osimertinib,C155850,Vociprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT03994796,DRUG: Abemaciclib|DRUG: PI3K Inhibitor paxalisib|DRUG: Entrectinib|DRUG: Adagrasib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT04000529,DRUG: TNO155|DRUG: Spartalizumab|DRUG: Ribociclib,C139559,Batoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04006301,DRUG: JNJ-74699157,C167157,JNJ74699157,Inhibitor,G12C,KRAS
NCT04045496,DRUG: JAB-3312,C164218,JAB3312,Inhibitor,SOS1:SHP2,SHP2
NCT04092673,DRUG: eFT226|DRUG: Sotorasib|DRUG: Fulvestrant|DRUG: Abemaciclib|DRUG: Trastuzumab,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT04111458,DRUG: BI 1701963|DRUG: Trametinib,C166138,BI1701963,Inhibitor,SOS1:SHP2,SOS1
NCT04117087,DRUG: KRAS peptide vaccine|DRUG: Nivolumab|DRUG: Ipilimumab,C165638,Pept vac,Vaccine,multi-KRAS,KRAS
NCT04121286,DRUG: JAB-3312,C164218,JAB3312,Inhibitor,SOS1:SHP2,SHP2
NCT04165031,DRUG: LY3499446|DRUG: Abemaciclib|DRUG: Cetuximab|DRUG: Erlotinib|DRUG: Docetaxel,C166410,LY3499446,Inhibitor,G12C,KRAS
NCT04185883,"DRUG: Sotorasib|DRUG: Trametinib|DRUG: RMC-4630|DRUG: Afatinib|DRUG: Pembrolizumab|DRUG: Panitumumab|DRUG: Carboplatin, pemetrexed, docetaxel, paclitaxel|DRUG: Atezolizumab|DRUG: Palbociclib|DRUG: MVASI® (bevacizumab-awwb)|DRUG: TNO155|DRUG: IV Chemotherapy (Regimen 1)|DRUG: IV Chemotherapy (Regimen 2)|DRUG: BI 1701963|DRUG: AMG 404|DRUG: Everolimus",C154287|C139559|C155850|C166138,Sotorasib|Batoprotafib|Vociprotafib|BI1701963,Inhibitor|Inhibitor|Inhibitor|Inhibitor,G12C|SOS1:SHP2|SOS1:SHP2|SOS1:SHP2,KRAS|SHP2|SHP2|SOS1
NCT04252339,DRUG: RLY-1971,C199073,Migoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04281420,DRUG: ATG-019|COMBINATION_PRODUCT: ATG-019 + Niacin ER,C200465,Pept vac TG01,Vaccine,multi-KRAS,KRAS
NCT04294160,DRUG: Dabrafenib|DRUG: LTT462|DRUG: Trametinib|DRUG: LXH254|DRUG: TNO155|BIOLOGICAL: Spartalizumab|BIOLOGICAL: Tislelizumab,C139559,Batoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04305249,DRUG: ATG-017|DRUG: ATG-017+Nivolumab,C200465,Pept vac TG01,Vaccine,multi-KRAS,KRAS
NCT04380753,DRUG: AMG 510,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT04449874,DRUG: GDC-6036|DRUG: Atezolizumab|DRUG: Cetuximab|DRUG: Bevacizumab|DRUG: Erlotinib|DRUG: GDC-1971|DRUG: Inavolisib,C173995|C199073,Divarasib|Migoprotafib,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT04528836,DRUG: BBP-398 (Formerly known as IACS-15509),C177417,BBP398,Inhibitor,SOS1:SHP2,SHP2
NCT04585035,"DRUG: D-1553|DRUG: D-1553 in combination with Drug: pembrolizumab, Drug:KEYTRUDA® , Drug: cetuximab, Drug: other",C178562,Garsorasib,Inhibitor,G12C,KRAS
NCT04589845,DRUG: Entrectinib|DRUG: Entrectinib|DRUG: Alectinib|DRUG: Atezolizumab|DRUG: Ipatasertib|DRUG: Trastuzumab emtansine|DRUG: Idasanutlin|DRUG: Inavolisib|DRUG: Belvarafenib|DRUG: Pralsetinib|DRUG: GDC-6036|DRUG: Camonsertib,C173995,Divarasib,Inhibitor,G12C,KRAS
NCT04627142,DRUG: BI 1701963|DRUG: Camptosar®,C166138,BI1701963,Inhibitor,SOS1:SHP2,SOS1
NCT04670679,DRUG: ERAS-601|DRUG: Cetuximab|DRUG: Pembrolizumab,C176881,ERAS601,Inhibitor,SOS1:SHP2,SHP2
NCT04678648,DRUG: RSC-1255 Dose Escalation|DRUG: RSC-1255 Dose Expansion,C178264,RSC1255,Inhibitor,pan-RAS,KRAS
NCT04699188,DRUG: JDQ443|DRUG: TNO155|BIOLOGICAL: tislelizumab,C177916|C139559,Opnurasib|Batoprotafib,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT04720976,DRUG: JAB-3312|DRUG: Binimetinib|DRUG: Pembrolizumab|DRUG: Sotorasib|DRUG: Osimertinib,C154287|C164218,Sotorasib|JAB3312,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT04721223,DRUG: JAB-3068|DRUG: PD1 inhibitor,C160207,JAB3068,Inhibitor,SOS1:SHP2,SHP2
NCT04793958,DRUG: MRTX849|BIOLOGICAL: Cetuximab|DRUG: mFOLFOX6 Regimen|DRUG: FOLFIRI Regimen,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT04800822,DRUG: PF-07284892|DRUG: lorlatinib|DRUG: binimetinib|BIOLOGICAL: cetuximab|DRUG: encorafenib,C178469,PF07284892,Inhibitor,SOS1:SHP2,SHP2
NCT04835714,DRUG: BI 1701963|DRUG: BI 3011441,C166138,BI1701963,Inhibitor,SOS1:SHP2,SOS1
NCT04843033,DRUG: SH3809 tablet,C180590,SH3809,Inhibitor,SOS1:SHP2,SHP2
NCT04853017,DRUG: ELI-002 2P,C179231,AMP vac ELI002,Vaccine,multi-KRAS,KRAS
NCT04866134,DRUG: ERAS-007|DRUG: ERAS-601,C176881,ERAS601,Inhibitor,SOS1:SHP2,SHP2
NCT04892017,DRUG: DCC-3116|DRUG: Trametinib|DRUG: Binimetinib|DRUG: Sotorasib,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT04916236,DRUG: RMC-4630|DRUG: LY3214996,C155850,Vociprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT04929223,DRUG: Inavolisib|DRUG: Bevacizumab|DRUG: Cetuximab|DRUG: Atezolizumab|DRUG: Tiragolumab|DRUG: SY-5609|DRUG: Divarasib|DRUG: FOLFOX|DRUG: FOLFIRI,C173995,Divarasib,Inhibitor,G12C,KRAS
NCT04956640,DRUG: LY3537982|DRUG: Pembrolizumab|DRUG: Cetuximab|DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Carboplatin,C181751,Olomorasib,Inhibitor,G12C,KRAS
NCT04973163,DRUG: BI 1823911|DRUG: BI 1701963|DRUG: Midazolam,C181997|C166138,BI1823911|BI1701963,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SOS1
NCT04975256,DRUG: MRTX849|DRUG: BI 1701963,C157493|C166138,Adagrasib|BI1701963,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SOS1
NCT05002270,DRUG: JAB-21822 (KRAS G12C inhibitor)|DRUG: JAB-21822 (KRAS G12C inhibitor)|DRUG: JAB-21822 (KRAS G12C inhibitor)|DRUG: Cetuximab (EGFR inhibitor),C181904,Glecirasib,Inhibitor,G12C,KRAS
NCT05009329,DRUG: JAB-21822|DRUG: JAB-21822|DRUG: JAB-21822,C181904,Glecirasib,Inhibitor,G12C,KRAS
NCT05010525,DRUG: ATG-016,C200465,Pept vac TG01,Vaccine,multi-KRAS,KRAS
NCT05010694,DRUG: GH35 Tablet,C183160,GH35,Inhibitor,G12C,KRAS
NCT05012618,DRUG: LUNA18|DRUG: Cetuximab,C185876,LUNA18,Inhibitor,pan-RAS,KRAS
NCT05067283,DRUG: MK-1084|BIOLOGICAL: Pembrolizumab|DRUG: carboplatin|DRUG: pemetrexed|BIOLOGICAL: cetuximab|DRUG: oxaliplatin|DRUG: leucovorin|DRUG: 5-fluorouracil,C185288,MK1084,Inhibitor,G12C,KRAS
NCT05119933,DRUG: YL-15293,C185398,YL15293,Inhibitor,G12C,KRAS
NCT05163028,DRUG: HBI-2376,C185599,HBI2376,Inhibitor,SOS1:SHP2,SHP2
NCT05173805,DRUG: YL-15293,C185398,YL15293,Inhibitor,G12C,KRAS
NCT05178888,DRUG: MRTX849|DRUG: Palbociclib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT05183243,DRUG: GH21 Capsule,C185599,HBI2376,Inhibitor,SOS1:SHP2,SHP2
NCT05194995,DRUG: JAB-21822|DRUG: Cetuximab,C181904,Glecirasib,Inhibitor,G12C,KRAS
NCT05198934,DRUG: Sotorasib|DRUG: Panitumumab|DRUG: Trifluridine and Tipiracil|DRUG: Regorafenib,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT05263986,DRUG: MRTX849,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT05288205,DRUG: JAB-21822|DRUG: JAB-3312,C181904|C164218,Glecirasib|JAB3312,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT05338346,DRUG: ATG-018,C200465,Pept vac TG01,Vaccine,multi-KRAS,KRAS
NCT05354843,DRUG: ET0038,C192173,ET0038,Inhibitor,SOS1:SHP2,SHP2
NCT05358249,DRUG: JDQ443|DRUG: trametinib|DRUG: Ribociclib|BIOLOGICAL: cetuximab,C177916,Opnurasib,Inhibitor,G12C,KRAS
NCT05367778,DRUG: HS-10370,C187660,HS10370,Inhibitor,G12C,KRAS
NCT05375084,DRUG: BBP-398 with nivolumab,C177417,BBP398,Inhibitor,SOS1:SHP2,SHP2
NCT05378178,DRUG: HS-10381,C188117,HS10381,Inhibitor,SOS1:SHP2,SHP2
NCT05379946,DRUG: D-1553|DRUG: IN10018,C178562,Garsorasib,Inhibitor,G12C,KRAS
NCT05379985,DRUG: RMC-6236,C188048,RMC6236,Inhibitor,pan-RAS,KRAS
NCT05382559,DRUG: ASP3082|DRUG: Cetuximab|DRUG: Leucovorin|DRUG: Oxaplatin|DRUG: Fluorouracil|DRUG: Irinotecan|DRUG: Nanoparticle albumin-bound-paclitaxel|DRUG: Gemcitabine,C191205,ASP3082,Degrader,G12D,KRAS
NCT05462717,DRUG: RMC-6291,C189824,RMC6291,Inhibitor,G12C,KRAS
NCT05480865,DRUG: BBP-398|DRUG: sotorasib,C154287|C177417,Sotorasib|BBP398,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT05485974,DRUG: HBI-2438,C190135,HBI2438,Inhibitor,G12C,KRAS
NCT05487235,DRUG: GDC-1971|DRUG: Atezolizumab|DRUG: Omeprazole,C199073,Migoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT05497336,DRUG: IBI351|DRUG: Cetuximab,C182070,IBI351,Inhibitor,G12C,KRAS
NCT05525559,DRUG: ET0038,C192173,ET0038,Inhibitor,SOS1:SHP2,SHP2
NCT05533463,DRUG: HRS-4642,C192673,HRS4642,Inhibitor,G12D,KRAS
NCT05578092,DRUG: MRTX0902|DRUG: MRTX849,C157493|C192822,Adagrasib|MRTX0902,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SOS1
NCT05621525,DRUG: BBP-398,C177417,BBP398,Inhibitor,SOS1:SHP2,SHP2
NCT05631886,BIOLOGICAL: TP53-EphA-2-CAR-DC|DRUG: Abraxane|DRUG: Cyclophosphamide|DRUG: anti-PD-1 antibody|DRUG: Anti-CTLA4 Monoclonal Antibody,N.A.,EphA-2-CAR-DC vac,Vaccine,multi-KRAS,KRAS
NCT05631899,BIOLOGICAL: KRAS-EphA-2-CAR-DC|DRUG: Abraxane|DRUG: Cyclophosphamide|DRUG: Anti-PD-1 antibody|DRUG: Anti-CTLA4 Monoclonal Antibody,N.A.,EphA-2-CAR-DC vac,Vaccine,multi-KRAS,KRAS
NCT05638295,PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Panitumumab|DRUG: Sotorasib,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT05722327,DRUG: MRTX849|DRUG: Irinotecan|DRUG: Cetuximab,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT05726864,DRUG: ELI-002 7P,C179231,AMP vac ELI002,Vaccine,multi-KRAS,KRAS
NCT05737706,DRUG: MRTX1133,C200319,MRTX1133,Inhibitor,G12D,KRAS
NCT05768321,DRUG: GEC255 tablets,C200260,GEC255,Inhibitor,G12C,KRAS
NCT05840510,DRUG: Adagrasib|DRUG: nab-Sirolimus,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT05845450,DRUG: Trastuzumab deruxtecan|DRUG: Durvalumab|DRUG: Panitumumab|DRUG: Botensilimab|DRUG: Balstilimab|DRUG: Sotorasib,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT05853367,DRUG: MK-0472|BIOLOGICAL: Pembrolizumab|DRUG: MK-1084,C185288,MK1084,Inhibitor,G12C,KRAS
NCT05954871,DRUG: GDC-1971|DRUG: Osimertinib|DRUG: Cetuximab,C199073,Migoprotafib,Inhibitor,SOS1:SHP2,SHP2
NCT06008288,DRUG: JAB-21822,C181904,Glecirasib,Inhibitor,G12C,KRAS
NCT06024174,DRUG: BMS-986466|DRUG: Adagrasib|DRUG: Cetuximab,C157493|C177417,Adagrasib|BBP398,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT06026410,DRUG: KO-2806|DRUG: Cabozantinib|DRUG: Adagrasib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT06039384,DRUG: INCB099280|DRUG: adagrasib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT06040541,DRUG: RMC-9805|DRUG: RMC-6236,C201828|C188048,RMC9805|RMC6236,Inhibitor|Inhibitor,G12D|pan-RAS,KRAS|KRAS
NCT06056024,DRUG: BI 3706674,C202247,BI 3706674,Inhibitor,G12C,KRAS
NCT06078800,DRUG: YL-17231,C202009,YL17231,Inhibitor,multi-KRAS,KRAS
NCT06096974,DRUG: YL-17231,C202009,YL17231,Inhibitor,multi-KRAS,KRAS
NCT06105021,DRUG: AFNT-211,C204799,AFNT211,TCR,G12V,KRAS
NCT06117371,DRUG: BEBT-607Tablets,C203654,BEBT607,Inhibitor,G12C,KRAS
NCT06130254,DRUG: Adagrasib|DRUG: Olaparib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT06162221,DRUG: RMC-6291|DRUG: RMC-6236|DRUG: Pembrolizumab|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: RMC-9805,C189824|C201828|C188048,RMC6291|RMC9805|RMC6236,Inhibitor|Inhibitor|Inhibitor,G12C|G12D|pan-RAS,KRAS|KRAS|KRAS
NCT06166836,DRUG: D1553|DRUG: IN10018（Ifebemtinib）,C178562,Garsorasib,Inhibitor,G12C,KRAS
NCT06179160,DRUG: INCB161734|DRUG: Cetuximab|DRUG: Retifanlimab|DRUG: GEMNabP|DRUG: mFOLFIRINOX,C206252,INCB161734,Inhibitor,G12D,KRAS
NCT06218914,"BIOLOGICAL: NT-112: Autologous, engineered T Cells targeting KRAS G12D",C204099,NT112,TCR,G12D,KRAS
NCT06227377,DRUG: QTX3034|COMBINATION_PRODUCT: Cetuximab,C204884,QTX3034,Inhibitor,multi-KRAS,KRAS
NCT06235983,DRUG: LY3537982,C181751,Olomorasib,Inhibitor,G12C,KRAS
NCT06237400,DRUG: ZG19018,C208076,ZG19018,Inhibitor,G12C,KRAS
NCT06244771,DRUG: FMC-376,C206215,FMC376,Inhibitor,G12C,KRAS
NCT06252649,DRUG: FOLFIRI Regimen|DRUG: Sotorasib|DRUG: Panitumumab|DRUG: Bevacizumab-awwb,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT06322095,DRUG: PD-1|DRUG: MET inhibitor|DRUG: ALK inhibitor|DRUG: BRAF Inhibito|DRUG: EGFR Monoclonal antibody|DRUG: GH21|DRUG: MEK Inhibitor,C185599,HBI2376,Inhibitor,SOS1:SHP2,SHP2
NCT06348290,DRUG: JMKX001899|DRUG: Itraconazole|DRUG: Midazolam|DRUG: Rifampin|DRUG: dextromethorphan|DRUG: Rosuvastatin|DRUG: digoxin,C213772,JMKX001899,Inhibitor,G12C,KRAS
NCT06364696,DRUG: ASP4396,C212079,ASP4396,Degrader,G12D,KRAS
NCT06385678,DRUG: HRS-4642|DRUG: Adebrelimab|DRUG: SHR-9839|DRUG: Pemetrexed Disodium for Injection、Cisplatin Injection、Carboplatin for Injection|DRUG: Cetuximab Solution for Infusion,C192673,HRS4642,Inhibitor,G12D,KRAS
NCT06403735,DRUG: QLC1101,N.A.,QLC1101,Inhibitor,G12D,KRAS
NCT06412198,DRUG: Cetuximab|DRUG: Cemiplimab|DRUG: Adagrasib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT06428500,DRUG: QTX3046|COMBINATION_PRODUCT: Cetuximab,C208020,QTX3046,Inhibitor,G12D,KRAS
NCT06435455,DRUG: GH21|DRUG: D-1553,C178562|C185599,Garsorasib|HBI2376,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT06445062,DRUG: RMC-6236|DRUG: mFOLFOX6 regimen|DRUG: bevacizumab|DRUG: mFOLFIRINOX regimen|DRUG: cetuximab|DRUG: gemcitabine|DRUG: nab-paclitaxel|DRUG: RMC-9805,C201828|C188048,RMC9805|RMC6236,Inhibitor|Inhibitor,G12D|pan-RAS,KRAS|KRAS
NCT06447662,DRUG: PF-07934040|COMBINATION_PRODUCT: Gemcitabine|COMBINATION_PRODUCT: Nab-paclitaxel|COMBINATION_PRODUCT: Cetuximab|COMBINATION_PRODUCT: Fluorouracil|COMBINATION_PRODUCT: Oxaliplatin|COMBINATION_PRODUCT: Leucovorin|COMBINATION_PRODUCT: Bevacizumab|COMBINATION_PRODUCT: Pembrolizumab|COMBINATION_PRODUCT: pemetrexed|COMBINATION_PRODUCT: Cisplatin|COMBINATION_PRODUCT: Paclitaxel|COMBINATION_PRODUCT: Carboplatin,C209714,PF07934040,Inhibitor,pan-RAS,KRAS
NCT06487377,BIOLOGICAL: IX001 TCR-T cells,N.A.,IX001,TCR,multi-KRAS,KRAS
NCT06500676,DRUG: GFH375,N.A.,GFH375,Inhibitor,G12D,KRAS
NCT06507306,DRUG: KQB198|DRUG: osimertinib,C211867,KQB198,Inhibitor,SOS1:SHP2,SOS1
NCT06520488,DRUG: HRS-4642,C192673,HRS4642,Inhibitor,G12D,KRAS
NCT06585488,DRUG: BGB-53038|DRUG: Tislelizumab|DRUG: Cetuximab,N.A.,BGB53038,Inhibitor,multi-KRAS,KRAS
NCT06586515,DRUG: LY3962673|DRUG: Cetuximab|DRUG: Gemcitabine|DRUG: nab-paclitaxel|DRUG: Oxaliplatin|DRUG: leucovorin|DRUG: Irinotecan|DRUG: 5-fluorouracil,C211591,LY3962673,Inhibitor,G12D,KRAS
NCT06594874,DRUG: HS-10370|DRUG: Adebrelimab|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Pemetrexed,C187660,HS10370,Inhibitor,G12C,KRAS
NCT06599502,DRUG: AZD0022|DRUG: Cetuximab,C211637,AZD0022,Inhibitor,G12D,KRAS
NCT06607185,DRUG: LY4066434|DRUG: Cetuximab|DRUG: Nab paclitaxel|DRUG: Gemcitabine|DRUG: Oxaliplatin|DRUG: Leucovorin|DRUG: Irinotecan|DRUG: 5-Fluorouracil|DRUG: Carboplatin|DRUG: Cisplatin|DRUG: Pemetrexed|DRUG: Pembrolizumab,C213206,LY4066434,Inhibitor,pan-RAS,KRAS
NCT06659341,DRUG: BAY3498264,N.A.,BAY3498264,Inhibitor,SOS1|SHP2,SOS1
NCT06704724,DRUG: PF-07985045|COMBINATION_PRODUCT: Gemcitabine|COMBINATION_PRODUCT: Nab-paclitaxel|COMBINATION_PRODUCT: Cetuximab|COMBINATION_PRODUCT: Fluorouracil|COMBINATION_PRODUCT: Oxaliplatin|COMBINATION_PRODUCT: Leucovorin|COMBINATION_PRODUCT: Bevacizumab|COMBINATION_PRODUCT: Pembrolizumab|COMBINATION_PRODUCT: Sasanlimab|COMBINATION_PRODUCT: pemetrexed|COMBINATION_PRODUCT: Cisplatin|COMBINATION_PRODUCT: Paclitaxel|COMBINATION_PRODUCT: Carboplatin|COMBINATION_PRODUCT: PF-07284892,C178469,PF07284892,Inhibitor,SOS1:SHP2,SHP2
NCT06804824,DRUG: VVD-159642|DRUG: Sotorasib|DRUG: Trametinib,C154287,Sotorasib,Inhibitor,G12C,KRAS
NCT06838338,DRUG: JAB-21822|DRUG: standard second-line chemotherapy|DRUG: Bevacizumab,C181904,Glecirasib,Inhibitor,G12C,KRAS
NCT03785249,DRUG: MRTX849|DRUG: Pembrolizumab|DRUG: Cetuximab|DRUG: Afatinib,C157493,Adagrasib,Inhibitor,G12C,KRAS
NCT04330664,DRUG: MRTX849|DRUG: TNO155,C157493|C139559,Adagrasib|Batoprotafib,Inhibitor|Inhibitor,G12C|SOS1:SHP2,KRAS|SHP2
NCT06385925,DRUG: TSN1611,C206213,TSN1611,Inhibitor,G12D,KRAS
NCT03190941,DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: Anti-KRAS G12V mTCR PBL|DRUG: Aldesleukin,N.A.,KRAS-G12V mTCR,TCR,G12V,KRAS
NCT03745326,DRUG: Cyclophosphamide|DRUG: Fludarabine|DRUG: Aldesleukin|BIOLOGICAL: anti-KRAS G12D mTCR PBL,N.A.,KRAS-G12D mTCR,TCR,G12V,KRAS
NCT06253520,DRUG: Aldesleukin|DRUG: Fludarabine|DRUG: Cyclophosphamide|BIOLOGICAL: KRAS TCR-Transduced PBL|BIOLOGICAL: GRT-C903/GRT-R904,N.A.,GRT-C903|GRT-R904,TCR,multi-KRAS,KRAS
NCT06411691,DRUG: KRAS Vaccine with Poly-ICLC adjuvant|DRUG: Balstilimab|DRUG: Botensilimab,N.A.,KRAS Vaccine,Vaccine,multi-KRAS,KRAS
NCT06690281,BIOLOGICAL: KRAS TCR-Transduced PBL|DRUG: Aldesleukin|DRUG: Fludarabine|DRUG: Cyclophosphamide,N.A.,KRAS mTCR,TCR,multi-KRAS,KRAS
NCT06767046,DRUG: KRAS-specific Autologous TCR-T cell injection,N.A.,KRAS mTCR,TCR,multi-KRAS,KRAS
